"zip","population","city","county"
"20002",68201,"Washington","District Of Columbia"
"20011",67386,"Washington","District Of Columbia"
"20019",64031,"Washington","District Of Columbia"
"20020",54812,"Washington","District Of Columbia"
"20009",51288,"Washington","District Of Columbia"
"20001",45551,"Washington","District Of Columbia"
"20032",40716,"Washington","District Of Columbia"
"20003",34535,"Washington","District Of Columbia"
"20016",34422,"Washington","District Of Columbia"
"20010",33656,"Washington","District Of Columbia"
"20008",30461,"Washington","District Of Columbia"
"20007",24311,"Washington","District Of Columbia"
"20017",20221,"Washington","District Of Columbia"
"20018",20084,"Washington","District Of Columbia"
"20012",17526,"Washington","District Of Columbia"
"20015",15677,"Washington","District Of Columbia"
"20024",14525,"Washington","District Of Columbia"
"20005",13444,"Washington","District Of Columbia"
"20037",13037,"Washington","District Of Columbia"
"20036",4669,"Washington","District Of Columbia"
"20057",3914,"Washington","District Of Columbia"
"20052",3581,"Washington","District Of Columbia"
"20064",1873,"Washington","District Of Columbia"
"20004",1685,"Washington","District Of Columbia"
"20059",1518,"Washington","District Of Columbia"
"20006",1072,"Washington","District Of Columbia"
"20373",437,"Anacostia Annex","District Of Columbia"
"20390",404,"Washington","District Of Columbia"